"Time to get my life together so i can head to the desert in the AM #Coachella #Coachella #Coachella!","neg"
"RT @FreddyRivera: My first #Coachella 2009... #SirPaulMcCartney #tbt. This was the year of #Morrissey, #TheCure,â€¦ http://t.co/2b9ZdsIylE","pos"
"I wanna go to #coachella so bad!! #bucketlist","pos"
"everyone talking about #coachella makes me want to go even more now sobbing","neg"
"apologizing in advance for all my snapchat stories tomorrow ðŸ˜ŽðŸŽ¶ #coachella","pos"
"And this is happening in the gift shop. #coachella @ Coachella Polo Fields http://t.co/ibQ3g5qGRh","pos"
"#Coachella needs a space needle like #Seattle","pos"
"Start of the party! #coachella2014 #coachella #party http://t.co/yzAu0jHg0f","pos"
"on the way to the dessert #coachella","pos"
"RT @elreyyy_: @ampradio he said "TAKE MY GRANDKIDS TO COACHELLAðŸ™ðŸ™" #ampradio #coachella http://t.co/wIwZa5QvPx","pos"
"Filing into car camping at #coachella // it's magical here. http://t.co/5CumHdYdbH","pos"
"RT @realshawnisaac: Girls at #Coachella http://t.co/8fCHTLTXHP","neg"
"An outfit for each day of #Coachella's first weekend: http://t.co/NwpLKCNXFj http://t.co/Xb9IgDjXz7","pos"
"RT @HotNewHipHop: Frank Ocean Is Almost Done With New Album; May Skip #Coachella To Complete It! http://t.co/ua4AWc6445 RT!","neg"
"obsessed with my truck bed! â¤ï¸ðŸ’¤ #coachella http://t.co/lRCneJDXH6","pos"
"Happy #Coachella @ Coachella Valley Music and Arts Festival http://t.co/gc56Tf8qRY","pos"
"Oh chyeaaaah...I'm soooo excited for #Coachella! Lol! http://t.co/5J47oxtMPi","pos"
"#Coachella needs an In and Out Burger Truck","pos"
"RT @Wantickets: RETWEET if you're ready for #Coachella!! http://t.co/XY1NnLTo6A","pos"
"Finally on our way to #Coachella ðŸ˜ŽðŸ‘ðŸ‘ðŸ‘","pos"
"Queens of the Stone Age! @thecorpseag #smoothsailing see them at #coachella Saturday night! @ Grandâ€¦ http://t.co/qUgcDZpG7X","pos"
"Time to get this #workout on!! #abs #sixpack #edcbody #coachella #edc #edmfit","pos"
"This is so cute! #gingerbread #house #Coachella http://t.co/b8OP2utcLr","pos"
"My photo side proyect for tomorrow at #coachella will be the novice feeling what a desert sun will do to you by 3 p.m. #DrinkYourWaterKids","neg"
"Photo: @dam_funk is spinning some amazing jams with #nofilter necessary! #filteryachtclub #coachella... http://t.co/EKOzbPu25z","pos"
